timestamp,O_w_BLO_Axis_Ctrl,I_w_BLO_Weg,O_w_BLO_energy,O_w_BLO_current,O_w_BLO_power,O_w_BLO_voltage,O_w_BHL_Axis_Ctrl,I_w_BHL_Weg,O_w_BHL_energy,O_w_BHL_current,O_w_BHL_power,O_w_BHL_voltage,O_w_BHR_Axis_Ctrl,I_w_BHR_Weg,O_w_BHR_energy,O_w_BHR_current,O_w_BHR_power,O_w_BHR_voltage,O_w_BRU_Axis_Ctrl,I_w_BRU_Weg,O_w_BRU_energy,O_w_BRU_current,O_w_BRU_power,O_w_BRU_voltage,O_w_HAR_Ctrl,I_w_HR_Weg,O_w_HR_energy,O_w_HR_current,O_w_HR_power,O_w_HR_voltage,O_w_HAL_Ctrl,I_w_HL_Weg,O_w_HL_energy,O_w_HL_current,O_w_HL_power,O_w_HL_voltage,O_i_energie_gesamt
63601502741.055,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,0,0,77,0,1,2048,0,2206,1758,14698,27,2048,0,2050,1818,14500,26,0
63601502741.111,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,0,0,77,0,1,2048,0,2206,1758,14698,27,2048,0,2050,1818,14500,26,0
63601502741.166,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,0,0,77,0,1,2048,0,2206,1758,14698,27,2048,0,2050,1818,14500,26,0
63601502741.21,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,57,4842,389,21006,54,2048,0,12603,1721,13834,29,2048,0,12309,1789,13746,26,0
63601502741.327,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,57,4842,389,21006,54,2048,0,12603,1721,13834,29,2048,0,12309,1789,13746,26,0
63601502741.382,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,57,4842,389,21006,54,2048,0,12603,1721,13834,29,2048,0,12309,1789,13746,26,0
63601502741.426,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,131,10098,432,23815,55,2048,0,22274,1707,13321,27,2048,0,21956,1774,9808,26,0
63601502741.486,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,131,10098,432,23815,55,2048,0,22274,1707,13321,27,2048,0,21956,1774,9808,26,0
63601502741.533,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,131,10098,432,23815,55,2048,0,22274,1707,13321,27,2048,0,21956,1774,9808,26,0
63601502741.593,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,131,10098,432,23815,55,2048,0,22274,1707,13321,27,2048,0,21956,1774,9808,26,0
63601502741.649,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,209,14840,412,23016,56,2048,0,32313,1690,12862,27,2048,0,31974,1759,12966,26,0
63601502741.765,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,209,14840,412,23016,56,2048,0,32313,1690,12862,27,2048,0,31974,1759,12966,26,0
63601502741.809,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,209,14840,412,23016,56,2048,0,32313,1690,12862,27,2048,0,31974,1759,12966,26,0
63601502741.868,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,209,14840,412,23016,56,2048,0,32313,1690,12862,27,2048,0,31974,1759,12966,26,0
63601502741.916,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,287,20558,468,27608,60,2048,0,42284,1677,12565,27,2048,0,41884,1744,12212,27,0
63601502741.97,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,287,20558,468,27608,60,2048,0,42284,1677,12565,27,2048,0,41884,1744,12212,27,0
63601502742.045,0,-106,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,3,287,20558,468,27608,60,2048,0,42284,1677,12565,27,2048,0,41884,1744,12212,27,0
63601502742.101,0,-106,0,0,0,0,0,0,0,0,0,0,3,4,360,427,15192,38,3,366,25598,409,22220,55,2048,0,52046,1669,12160,26,2048,0,51772,1744,9088,26,0
63601502742.165,0,-106,0,0,0,0,0,0,0,0,0,0,3,4,360,427,15192,38,3,366,25598,409,22220,55,2048,0,52046,1669,12160,26,2048,0,51772,1744,9088,26,0
